ID,Nama_Gorden,Deskripsi,Harga,Gaya,Warna,Bahan,Kategori_Harga,Image_Filename
1,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,White,Vittrace Basic,100K-135K,1.jpg
2,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,Cream,Vittrace Basic,100K-135K,2.jpg
3,PRO TEXTILE Vittrace Basic YS003-A,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS003-A,Gray,Vittrace Basic,100K-135K,3.jpg
4,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,white,Vittrace Basic,100K-135K,4.jpg
5,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,Cream,Vittrace Basic,100K-135K,5.jpg
6,PRO TEXTILE Vittrace Basic YS005,Gorden transparan bahan vittrace yang membuat ruangan sempit terasa lebih luas. Membiarkan cahaya masuk alami cocok untuk ruangan gelap atau minimalis.,100K-135K,YS005,Gray,Vittrace Basic,100K-135K,6.jpg
7,PRO TEXTILE Vittrace Standar PV-1,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-1,White,Vittrace Standar,150K-165K,7.jpg
8,PRO TEXTILE Vittrace Standar PV-1,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-1,Cream,Vittrace Standar,150K-165K,8.jpg
9,PRO TEXTILE Vittrace Standar PV-2,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-2,white,Vittrace Standar,150K-165K,9.jpg
10,PRO TEXTILE Vittrace Standar PV-2,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-2,Cream,Vittrace Standar,150K-165K,10.jpg
11,PRO TEXTILE Vittrace Standar PV-3,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-3,white,Vittrace Standar,150K-165K,11.jpg
12,PRO TEXTILE Vittrace Standar PV-3,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-3,Cream,Vittrace Standar,150K-165K,12.jpg
13,PRO TEXTILE Vittrace Standar PV-4,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-4,white,Vittrace Standar,150K-165K,13.jpg
14,PRO TEXTILE Vittrace Standar PV-4,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-4,Cream,Vittrace Standar,150K-165K,14.jpg
15,PRO TEXTILE Vittrace Standar PV-5,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-5,white,Vittrace Standar,150K-165K,15.jpg
16,PRO TEXTILE Vittrace Standar PV-5,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,PV-5,Cream,Vittrace Standar,150K-165K,16.jpg
17,PRO TEXTILE Vittrace Standar YS001,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,YS001,white,Vittrace Standar,150K-165K,17.jpg
18,PRO TEXTILE Vittrace Standar YS001,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,YS001,Cream,Vittrace Standar,150K-165K,18.jpg
19,PRO TEXTILE Vittrace Standar YS001,Gorden vitrase standar. Sangat direkomendasikan untuk lantai tinggi atau apartemen guna menjaga privasi siang hari tanpa kehilangan cahaya.,150K-165K,YS001,Gray,Vittrace Standar,150K-165K,19.jpg
20,PRO TEXTILE Vittrace Middle GR8-L,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-L,White,Vittrace Middle,175K-225K,20.jpg
21,PRO TEXTILE Vittrace Middle GR8-L,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-L,Cream,Vittrace Middle,175K-225K,21.jpg
22,PRO TEXTILE Vittrace Middle GR8-L,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-L,Gray,Vittrace Middle,175K-225K,22.jpg
23,PRO TEXTILE Vittrace Middle GR8-M,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-M,White,Vittrace Middle,175K-225K,23.jpg
24,PRO TEXTILE Vittrace Middle GR8-M,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-M,Cream,Vittrace Middle,175K-225K,24.jpg
25,PRO TEXTILE Vittrace Middle GR8-M,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-M,Gray,Vittrace Middle,175K-225K,25.jpg
26,PRO TEXTILE Vittrace Middle GR8-N,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-N,White,Vittrace Middle,175K-225K,26.jpg
27,PRO TEXTILE Vittrace Middle GR8-N,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-N,Cream,Vittrace Middle,175K-225K,27.jpg
28,PRO TEXTILE Vittrace Middle GR8-N,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-N,Gray,Vittrace Middle,175K-225K,28.jpg
29,PRO TEXTILE Vittrace Middle GR8-O,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-O,White,Vittrace Middle,175K-225K,29.jpg
30,PRO TEXTILE Vittrace Middle GR8-O,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-O,Cream,Vittrace Middle,175K-225K,30.jpg
31,PRO TEXTILE Vittrace Middle GR8-O,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-O,Gray,Vittrace Middle,175K-225K,31.jpg
32,PRO TEXTILE Vittrace Middle GR8-P,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-P,White,Vittrace Middle,175K-225K,32.jpg
33,PRO TEXTILE Vittrace Middle GR8-P,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-P,Cream,Vittrace Middle,175K-225K,33.jpg
34,PRO TEXTILE Vittrace Middle GR8-P,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-P,Gray,Vittrace Middle,175K-225K,34.jpg
35,PRO TEXTILE Vittrace Middle GR8-Q,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-Q,White,Vittrace Middle,175K-225K,35.jpg
36,PRO TEXTILE Vittrace Middle GR8-Q,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-Q,Cream,Vittrace Middle,175K-225K,36.jpg
37,PRO TEXTILE Vittrace Middle GR8-Q,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-Q,Gray,Vittrace Middle,175K-225K,37.jpg
38,PRO TEXTILE Vittrace Middle GR8-R,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-R,White,Vittrace Middle,175K-225K,38.jpg
39,PRO TEXTILE Vittrace Middle GR8-R,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-R,Cream,Vittrace Middle,175K-225K,39.jpg
40,PRO TEXTILE Vittrace Middle GR8-R,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-R,Gray,Vittrace Middle,175K-225K,40.jpg
41,PRO TEXTILE Vittrace Middle GR8-S,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-S,White,Vittrace Middle,175K-225K,41.jpg
42,PRO TEXTILE Vittrace Middle GR8-S,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-S,Cream,Vittrace Middle,175K-225K,42.jpg
43,PRO TEXTILE Vittrace Middle GR8-S,Gorden transparan yang estetis. Cocok sebagai pelapis gorden tebal atau digunakan sendiri untuk kesan airy.,175K-225K,GR8-S,Gray,Vittrace Middle,175K-225K,43.jpg
44,PURE DESIGN Vittrace Natural PDV0039-001,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-001,,Vittrace Natural,250K-275K,44.jpg
45,PURE DESIGN Vittrace Natural PDV0039-002,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-002,,Vittrace Natural,250K-275K,45.jpg
46,PURE DESIGN Vittrace Natural PDV0039-003,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-003,,Vittrace Natural,250K-275K,46.jpg
47,PURE DESIGN Vittrace Natural PDV0039-004,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-004,,Vittrace Natural,250K-275K,47.jpg
48,PURE DESIGN Vittrace Natural PDV0039-005,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-005,,Vittrace Natural,250K-275K,48.jpg
49,PURE DESIGN Vittrace Natural PDV0039-006,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-006,,Vittrace Natural,250K-275K,49.jpg
50,PURE DESIGN Vittrace Natural PDV0039-007,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-007,,Vittrace Natural,250K-275K,50.jpg
51,PURE DESIGN Vittrace Natural PDV0039-008,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-008,,Vittrace Natural,250K-275K,51.jpg
52,PURE DESIGN Vittrace Natural PDV0039-009,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-009,,Vittrace Natural,250K-275K,52.jpg
53,PURE DESIGN Vittrace Natural PDV0039-010,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0039-010,,Vittrace Natural,250K-275K,53.jpg
54,PURE DESIGN Vittrace Natural PDV0040-001,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-001,,Vittrace Natural,250K-275K,54.jpg
55,PURE DESIGN Vittrace Natural PDV0040-002,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-002,,Vittrace Natural,250K-275K,55.jpg
56,PURE DESIGN Vittrace Natural PDV0040-003,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-003,,Vittrace Natural,250K-275K,56.jpg
57,PURE DESIGN Vittrace Natural PDV0040-004,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-004,,Vittrace Natural,250K-275K,57.jpg
58,PURE DESIGN Vittrace Natural PDV0040-005,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-005,,Vittrace Natural,250K-275K,58.jpg
59,PURE DESIGN Vittrace Natural PDV0040-006,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0040-006,,Vittrace Natural,250K-275K,59.jpg
60,PURE DESIGN Vittrace Natural PDV0041-001,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0041-001,,Vittrace Natural,250K-275K,60.jpg
61,PURE DESIGN Vittrace Natural PDV0041-002,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0041-002,,Vittrace Natural,250K-275K,61.jpg
62,PURE DESIGN Vittrace Natural PDV0041-003,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0041-003,,Vittrace Natural,250K-275K,62.jpg
63,PURE DESIGN Vittrace Natural PDV0041-004,Gorden bahan linen halus dengan tekstur natural. Sangat pas untuk gaya Japandi atau Scandinavian. Memberikan sirkulasi udara baik untuk ruangan lembab.,250K-275K,PDV0041-004,,Vittrace Natural,250K-275K,63.jpg
64,GVTEX Vittrace Double Layer V9118-5,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-5,,Vittrace Double Layer,285K-335K,64.jpg
65,GVTEX Vittrace Double Layer V9118-6,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-6,,Vittrace Double Layer,285K-335K,65.jpg
66,GVTEX Vittrace Double Layer V9118-7,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-7,,Vittrace Double Layer,285K-335K,66.jpg
67,GVTEX Vittrace Double Layer V9118-8,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-8,,Vittrace Double Layer,285K-335K,67.jpg
68,GVTEX Vittrace Double Layer V9118-9,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-9,,Vittrace Double Layer,285K-335K,68.jpg
69,GVTEX Vittrace Double Layer V9118-10,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-10,,Vittrace Double Layer,285K-335K,69.jpg
70,GVTEX Vittrace Double Layer V9118-11,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-11,,Vittrace Double Layer,285K-335K,70.jpg
71,GVTEX Vittrace Double Layer V9118-12,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-12,,Vittrace Double Layer,285K-335K,71.jpg
72,GVTEX Vittrace Double Layer V9118-13,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-13,,Vittrace Double Layer,285K-335K,72.jpg
73,GVTEX Vittrace Double Layer V9118-14,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-14,,Vittrace Double Layer,285K-335K,73.jpg
74,GVTEX Vittrace Double Layer V911815,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V911815,,Vittrace Double Layer,285K-335K,74.jpg
75,GVTEX Vittrace Double Layer V9118-16,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-16,,Vittrace Double Layer,285K-335K,75.jpg
76,GVTEX Vittrace Double Layer V9118-17,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-17,,Vittrace Double Layer,285K-335K,76.jpg
77,GVTEX Vittrace Double Layer V9118-18,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-18,,Vittrace Double Layer,285K-335K,77.jpg
78,GVTEX Vittrace Double Layer V9118-19,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-19,,Vittrace Double Layer,285K-335K,78.jpg
79,GVTEX Vittrace Double Layer V9118-20,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-20,,Vittrace Double Layer,285K-335K,79.jpg
80,GVTEX Vittrace Double Layer V9118-21,Gorden vitrase ganda yang elegan. Memberikan dimensi visual yang cantik pada jendela Anda.,285K-335K,V9118-21,,Vittrace Double Layer,285K-335K,80.jpg
81,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-11,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-11,,Vittrace Double Layer Jacquard,285K-335K,81.jpg
82,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-12,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-12,,Vittrace Double Layer Jacquard,285K-335K,82.jpg
83,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-13,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-13,,Vittrace Double Layer Jacquard,285K-335K,83.jpg
84,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-14,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-14,,Vittrace Double Layer Jacquard,285K-335K,84.jpg
85,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-15,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-15,,Vittrace Double Layer Jacquard,285K-335K,85.jpg
86,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-16,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-16,,Vittrace Double Layer Jacquard,285K-335K,86.jpg
87,PURE DESIGN Vittrace Double Layer Jacquard PDV0010-17,Gorden motif jacquard mewah. Menggabungkan fungsi penahan panas dan estetika kelas atas untuk kamar tidur utama.,285K-335K,PDV0010-17,,Vittrace Double Layer Jacquard,285K-335K,87.jpg
